"X","Mechanism","Factor"
"laf","Trans-dominant","Stage"
"CG34029","Trans-dominant","Stage"
"CG33704","Trans-dominant","Stage"
"CG31741","Trans-dominant","Stage"
"CG44435","Trans-dominant","Stage"
"CG4586","Trans-dominant","Stage"
"lok","Trans-dominant","Stage"
"CG14505","Trans-dominant","Stage"
"CG18327","Trans-dominant","Stage"
"CG43190","Trans-dominant","Stage"
"CG15256","Trans-dominant","Stage"
"Ntl","Trans-dominant","Stage"
"CG1958","Trans-dominant","Stage"
"FASN1","Trans-dominant","Stage"
"CG32392","Trans-dominant","Stage"
"E(spl)malpha-BFM","Trans-dominant","Stage"
"CG15403","Trans-dominant","Stage"
"CG18675","Trans-dominant","Stage"
"Vha14-2","Trans-dominant","Stage"
"Prosbeta4R1","Trans-dominant","Stage"
"CG13114","Trans-dominant","Stage"
"CG18557","Trans-dominant","Stage"
"CG9308","Trans-dominant","Stage"
"CG8292","Trans-dominant","Stage"
"CG14668","Trans-dominant","Stage"
"CG34203","Trans-dominant","Stage"
"CG14958","Trans-dominant","Stage"
"CG30384","Trans-dominant","Stage"
"CG12395","Trans-dominant","Stage"
"CG33098","Trans-dominant","Stage"
"e","Trans-dominant","Stage"
"CG15147","Trans-dominant","Stage"
"CG3491","Trans-dominant","Stage"
"Femcoat","Trans-dominant","Stage"
"CG43288","Trans-dominant","Stage"
"CG33287","Trans-dominant","Stage"
"CG32487","Trans-dominant","Stage"
"CG10359","Trans-dominant","Stage"
"CG8888","Trans-dominant","Stage"
"CG13992","Trans-dominant","Stage"
"CG15172","Trans-dominant","Stage"
"CG31921","Trans-dominant","Stage"
"lobo","Trans-dominant","Stage"
"CG42650","Trans-dominant","Stage"
