"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CG42329",-0.59498246006015,1.20149523057308,-1.53123106610841,0.129564873336155,0.129564873336155,-6.15656347080122
"CG10348",-0.420514440304757,0.716600701823321,-1.53102961656437,0.129614616210623,0.129614616210623,-6.15686565796114
"CG16786",0.485919626214601,1.48211100592178,1.53031582884121,0.129790989606369,0.129790989606369,-6.15793608291509
"CG3198",-0.576215089572773,3.59521173633123,-1.52643747854058,0.130752629202996,0.130752629202996,-6.16374397553429
"CG9890",-0.640471440442435,3.57993813398868,-1.52602026154669,0.13085641287343,0.13085641287343,-6.16436793558991
"Vha14-1",-0.895312339547766,8.81212460156377,-1.52556070257662,0.130970804500949,0.130970804500949,-6.16505503283964
"Pal1",0.572903375957749,4.60634211429111,1.52492771967767,0.131128493424782,0.131128493424782,-6.16600110018535
"Trs31",0.993715240060726,3.12684176820333,1.52476741247843,0.13116845299434,0.13116845299434,-6.16624063928457
"ppk17",0.564987549697872,0.692334095496265,1.52424579429411,0.131298542638423,0.131298542638423,-6.16701990284885
"Epg5",0.410697190714401,3.03617872325845,1.5236262987797,0.131453174835035,0.131453174835035,-6.16794506157846
"CG9521",-0.540261505734085,0.976758040304735,-1.52353407335425,0.131476207501399,0.131476207501399,-6.16808276126208
"Cog7",-0.553001892388084,3.43676843213138,-1.52315249763216,0.13157153727694,0.13157153727694,-6.16865239960402
"CG32204",-0.520284371702179,1.38262585811815,-1.52276070968359,0.131669475154778,0.131669475154778,-6.16923714309594
"CkIIbeta",-0.847677106646527,4.93186233231316,-1.52215445786364,0.131821137411786,0.131821137411786,-6.17014169381185
"loj",0.521364190112799,6.94210037460012,1.52175272728465,0.131921711780939,0.131921711780939,-6.17074090361603
"CG16940",-0.429194608634362,3.06675845875456,-1.52116240259864,0.132069611062777,0.132069611062777,-6.17162114384997
"Mkp3",-0.768409819261785,4.00854836311233,-1.5207995632573,0.132160581321668,0.132160581321668,-6.17216201783002
"CG2921",0.675925340574236,4.71707363475538,1.5202261569008,0.132304445252748,0.132304445252748,-6.17301652932377
"Rbpn-5",-0.895561101954041,3.27915914127572,-1.51962287033115,0.132455939266448,0.132455939266448,-6.1739152407182
"CG6051",0.855477902394852,4.41770802461222,1.51823208669348,0.132805706502184,0.132805706502184,-6.1759857961961
"CG34015",-0.872584259698966,3.82007685604691,-1.51722249695554,0.13306006344583,0.13306006344583,-6.17748771967576
"Fbw5",-0.52064060012135,3.32204573157358,-1.51710006190208,0.133090935936289,0.133090935936289,-6.17766979687259
"CG4968",0.499650314917734,5.93706327630569,1.51406524508243,0.133857983254988,0.133857983254988,-6.18217853410713
