"Gene","Mechanism","Factor"
"RacGAP84C","Cis x Trans","Stage"
"neo","Cis x Trans","Stage"
"CG31482","Cis x Trans","Stage"
"CG13326","Cis x Trans","Stage"
"mey","Cis x Trans","Stage"
"CG4988","Cis x Trans","Stage"
"CG4270","Cis x Trans","Stage"
"Tim17b1","Cis x Trans","Stage"
"EbpIII","Cis x Trans","Stage"
"CG11099","Cis x Trans","Stage"
"Cpr65Au","Cis x Trans","Stage"
"CG10064","Cis x Trans","Stage"
"Nckx30C","Cis x Trans","Stage"
"CycB","Cis x Trans","Stage"
"CG33460","Cis x Trans","Stage"
"CG12398","Cis x Trans","Stage"
"CG15657","Cis x Trans","Stage"
"CG7335","Cis x Trans","Stage"
"Rh2","Cis x Trans","Stage"
"spz6","Cis x Trans","Stage"
"schuy","Cis x Trans","Stage"
"CG5024","Cis x Trans","Stage"
"CG15312","Cis x Trans","Stage"
"CG4382","Cis x Trans","Stage"
"CG12902","Cis x Trans","Stage"
"CG15124","Cis x Trans","Stage"
"CG14245","Cis x Trans","Stage"
"CG4983","Cis x Trans","Stage"
"CG3698","Cis x Trans","Stage"
"CG31693","Cis x Trans","Stage"
"CSN1a","Cis x Trans","Stage"
"CG11286","Cis x Trans","Stage"
"CG11634","Cis x Trans","Stage"
"CG8736","Cis x Trans","Stage"
"CG10950","Cis x Trans","Stage"
"bam","Cis x Trans","Stage"
"CG18130","Cis x Trans","Stage"
"CG13998","Cis x Trans","Stage"
"Mst36Fb","Cis x Trans","Stage"
"CG30090","Cis x Trans","Stage"
"E(spl)m5-HLH","Cis x Trans","Stage"
"CG12516","Cis x Trans","Stage"
"CG15605","Cis x Trans","Stage"
"Hk","Cis x Trans","Stage"
"CG13872","Cis x Trans","Stage"
"CG11060","Cis x Trans","Stage"
"CG9090","Cis x Trans","Stage"
"ATPsynCF6L","Cis x Trans","Stage"
"Os-C","Cis x Trans","Stage"
"CG13186","Cis x Trans","Stage"
"CG12347","Cis x Trans","Stage"
"jef","Cis x Trans","Stage"
"CG13405","Cis x Trans","Stage"
"Calx","Cis x Trans","Stage"
"CG15878","Cis x Trans","Stage"
"CG2616","Cis x Trans","Stage"
"CG30075","Cis x Trans","Stage"
"CG33286","Cis x Trans","Stage"
"al","Cis x Trans","Stage"
"CG30324","Cis x Trans","Stage"
"CG3748","Cis x Trans","Stage"
"Lsp1beta","Cis x Trans","Stage"
"CG12783","Cis x Trans","Stage"
"yellow-g2","Cis x Trans","Stage"
"Adgf-E","Cis x Trans","Stage"
"CG14273","Cis x Trans","Stage"
"CRAT","Cis x Trans","Stage"
"CG15153","Cis x Trans","Stage"
"CG17237","Cis x Trans","Stage"
"CG5028","Cis x Trans","Stage"
"a5","Cis x Trans","Stage"
"CG31909","Cis x Trans","Stage"
"CG13227","Cis x Trans","Stage"
"CG15296","Cis x Trans","Stage"
"CG4681","Cis x Trans","Stage"
"CG12035","Cis x Trans","Stage"
"CG11470","Cis x Trans","Stage"
"CG32238","Cis x Trans","Stage"
"ND-20L","Cis x Trans","Stage"
"CG16739","Cis x Trans","Stage"
"Tps1","Cis x Trans","Stage"
"CG9452","Cis x Trans","Stage"
"CG30161","Cis x Trans","Stage"
"CG31050","Cis x Trans","Stage"
"CG7514","Cis x Trans","Stage"
"ftz-f1","Cis x Trans","Stage"
"SoYb","Cis x Trans","Stage"
"CG2336","Cis x Trans","Stage"
"CG14661","Cis x Trans","Stage"
"CG42383","Cis x Trans","Stage"
"CG9483","Cis x Trans","Stage"
"CG10345","Cis x Trans","Stage"
"CG6429","Cis x Trans","Stage"
"Mst89B","Cis x Trans","Stage"
"CG13541","Cis x Trans","Stage"
"RyR","Cis x Trans","Stage"
"Prosbeta4R2","Cis x Trans","Stage"
"CREG","Cis x Trans","Stage"
"SkpF","Cis x Trans","Stage"
"CG32832","Cis x Trans","Stage"
"rha","Cis x Trans","Stage"
"CG44433","Cis x Trans","Stage"
"AQP","Cis x Trans","Stage"
"SdhA","Cis x Trans","Stage"
"CG4712","Cis x Trans","Stage"
"wor","Cis x Trans","Stage"
"ase","Cis x Trans","Stage"
"CG13110","Cis x Trans","Stage"
"Ddc","Cis x Trans","Stage"
"CG31702","Cis x Trans","Stage"
"CG10822","Cis x Trans","Stage"
"CG42355","Cis x Trans","Stage"
"CG32299","Cis x Trans","Stage"
"Ir7c","Cis x Trans","Stage"
"E(spl)m7-HLH","Cis x Trans","Stage"
"CG17048","Cis x Trans","Stage"
"hig","Cis x Trans","Stage"
"CG1421","Cis x Trans","Stage"
"CG32447","Cis x Trans","Stage"
"CG33234","Cis x Trans","Stage"
"CG13581","Cis x Trans","Stage"
"CG7907","Cis x Trans","Stage"
"CG15333","Cis x Trans","Stage"
"CG34161","Cis x Trans","Stage"
"CG1999","Cis x Trans","Stage"
"CG15198","Cis x Trans","Stage"
"png","Cis x Trans","Stage"
"E(spl)mdelta-HLH","Cis x Trans","Stage"
"tor","Cis x Trans","Stage"
"CG4955","Cis x Trans","Stage"
"CG14589","Cis x Trans","Stage"
"CG15705","Cis x Trans","Stage"
"CG4218","Cis x Trans","Stage"
"CG10202","Cis x Trans","Stage"
"CG17118","Cis x Trans","Stage"
"CG13083","Cis x Trans","Stage"
"Fmo-2","Cis x Trans","Stage"
"CG14983","Cis x Trans","Stage"
"CG5062","Cis x Trans","Stage"
"CG12607","Cis x Trans","Stage"
"CG11044","Cis x Trans","Stage"
"wa-cup","Cis x Trans","Stage"
"CG16852","Cis x Trans","Stage"
"CG2291","Cis x Trans","Stage"
"Cyt-c-d","Cis x Trans","Stage"
"CG18662","Cis x Trans","Stage"
"laf","Cis x Trans","Stage"
"CG34029","Cis x Trans","Stage"
"CG33704","Cis x Trans","Stage"
"CG31741","Cis x Trans","Stage"
"CG44435","Cis x Trans","Stage"
"CG4586","Cis x Trans","Stage"
"lok","Cis x Trans","Stage"
"CG14505","Cis x Trans","Stage"
"CG18327","Cis x Trans","Stage"
"CG43190","Cis x Trans","Stage"
"CG15256","Cis x Trans","Stage"
"Ntl","Cis x Trans","Stage"
"CG1958","Cis x Trans","Stage"
"FASN1","Cis x Trans","Stage"
"CG32392","Cis x Trans","Stage"
"E(spl)malpha-BFM","Cis x Trans","Stage"
"CG15403","Cis x Trans","Stage"
"CG18675","Cis x Trans","Stage"
"Vha14-2","Cis x Trans","Stage"
"Prosbeta4R1","Cis x Trans","Stage"
"CG13114","Cis x Trans","Stage"
"CG18557","Cis x Trans","Stage"
"CG9308","Cis x Trans","Stage"
"CG8292","Cis x Trans","Stage"
"CG14668","Cis x Trans","Stage"
"CG34203","Cis x Trans","Stage"
"CG14958","Cis x Trans","Stage"
"CG30384","Cis x Trans","Stage"
"CG12395","Cis x Trans","Stage"
"CG33098","Cis x Trans","Stage"
"e","Cis x Trans","Stage"
"CG15147","Cis x Trans","Stage"
"CG3491","Cis x Trans","Stage"
"Femcoat","Cis x Trans","Stage"
"CG43288","Cis x Trans","Stage"
"CG33287","Cis x Trans","Stage"
"CG32487","Cis x Trans","Stage"
"CG10359","Cis x Trans","Stage"
"CG8888","Cis x Trans","Stage"
"CG13992","Cis x Trans","Stage"
"CG15172","Cis x Trans","Stage"
"CG31921","Cis x Trans","Stage"
"lobo","Cis x Trans","Stage"
"CG42650","Cis x Trans","Stage"
